ID_beem-Miller,ID_trimmed,ID,ID_d14C,cumulative_CO2_mg,cumulative_CO2_mg_gDrySoil,C_g_kg,dw_g,mgCO2.C_gC,time_d_cmtv,H2O_grav_pct,d13c,d14c
TVA 2B C,TVA-2B-C,TVA-2B-C ,TVA2B-C ,3.26,0.079064886,24.87,41.19,42.19484241,13,30.20150522,-26.44490945,205.964924
TVA 3B C,TVA-3B-C,TVA-3B-C ,TVA3B-C ,2.55,0.176433175,24.87,14.45,5.192918175,15,48.92733564,-27.4588194,196.6518521
TVA 4E C,TVA-4E-C,TVA-4E-C ,TVA4E-C ,3.50,0.05307691,24.87,65.95,108.1696402,12,26.20166793,-26.29634075,185.7353628
TVA 5B C,TVA-5B-C,TVA-5B-C,TVA5B-C,3.92,0.074881473,24.87,52.34,68.13075817,14,26.4807031,-27.66718978,153.9242144
TVA 6E C,TVA-6E-C,TVA-6E-C ,TVA6E-C ,3.12,0.047368661,24.87,65.9,108.0056847,14,28.2245827,-26.62916325,174.9670108
TVA 8E C,TVA-8E-C,TVA-8E-C ,TVA8E-C ,3.49,0.046035098,24.87,75.71,142.554942,14,22.08426892,-25.33859635,167.481533
WB 3E C,WB-3E-C,WB-3E-C,WB 3E-C,3.12,0.077800612,24.89,40.1,40.0233689,8,36.08478803,-27.22426975,380.8859662
WB 4B C,WB-4B-C,WB-4B-C,WB 4B-C,4.15,0.06978325,24.89,59.47,88.0279876,14,34.11804271,-27.7173866,254.8676086
WB 5B C,WB-5B-C,WB-5B-C,WB 5B-C,3.58,0.050483547,24.89,70.84,124.9056264,14,25.46583851,-26.8233925,315.6476076
WB 6E C,WB-6E-C,WB-6E-C,WB 6E-C,3.65,0.049948572,24.89,73.04,132.7842074,14,29.94249726,-27.94215958,233.9479876
WB 7E C,WB-7E-C,WB-7E-C,WB 7E-C,3.49,0.044611851,24.89,78.3,152.5978521,9,18.36526181,-27.6009489,412.7138546
WB 8B C,WB-8B-C,WB-8B-C,WB 8B-C,3.00,0.065597716,24.89,45.73,52.05078688,13,33.69779138,-28.77636513,385.0693097
