Experiment,ID,fresh_soil_wt_g,dry_soil_wt_reported_g,water_holding_capacity_60_factor,dry_soil_wt_corrected_g,preinc_time_d,preinc_mgCO2_gFreshSoil,preinc_mgCO2_jar,inc_time_d_1,inc_mgCO2_gFreshSoil_1,inc_mgCO2_jar_1,inc_time_d_2,inc_mgCO2_gFreshSoil_2,inc_mgCO2_jar_2,inc_time_d_3,inc_mgCO2_gFreshSoil_3,inc_mgCO2_jar_3,inc_time_d_4,inc_mgCO2_gFreshSoil_4,inc_mgCO2_jar_4
2011,HEG10,71.989,48.991,1.613118107,48.991,3.776388947,0.774154174,55.73058482,0.973611111,0.449235904,22.00851617,2.936111111,0.53070627,25.99983085,7.145138889,1.268140358,62.12746426,14.09513889,1.714293133,83.98493488
2011,HEG32,71.844,47.163,1.541388582,47.163,3.784027951,0.627032355,45.04851248,1.1013886,0.203151009,9.581211059,2.907638426,0.458020148,21.60160426,6.868055613,1.195873677,56.40099021,13.85208304,1.606165403,75.75157891
2011,HEG48,69.954,45.222,1.559170986,45.222,3.797917014,0.694583753,48.58891187,1.097915451,0.239369179,10.82475301,2.897915394,0.474552488,21.46021259,6.868748553,1.003498902,45.38022735,13.84513767,1.546433815,69.93282999
2011,HEW22,90.415,65.453,1.372806901,65.453,3.745138889,0.127251671,11.50545986,0.995137789,0.062212912,4.072021747,2.952082234,0.097850811,6.404629145,7.109721123,0.094290526,6.171597784,14.06666557,0.111473371,7.296266556
2011,HEW42,91.057,67.996,1.357992824,67.996,3.804861632,0.063872171,5.816008264,1.197917593,0.045627738,3.102503665,2.95694537,0.05782451,3.931835416,6.999306481,0.068305108,4.644474113,13.9638897,0.07123837,4.84392418
2011,HEW41,89.132,63.702,1.423471508,63.702,3.804166725,0.196166736,17.48473354,1.198611863,0.072910281,4.6445307,2.956250868,0.137602654,8.765564247,7.000000868,0.307348335,19.57870365,13.9645842,0.466440157,29.7131709
2011,SEG38,70.193,56.073,1.27278598,56.073,3.952083391,0.35628127,25.00845115,1,0.154195506,8.646204608,2.966667361,0.222649717,12.48463759,6.76597309,0.391714984,21.96463429,13.77569514,0.671551443,37.65590406
2011,SEG40,70.957,56.136,1.272070345,56.136,3.953472164,0.356890723,25.32389502,1,0.161957864,9.09166663,2.965973032,0.211207094,11.85632144,6.765278588,0.40681999,22.83724698,13.77569514,0.616770953,34.62305422
2011,SEG46,70.639,53.867,1.344205378,53.867,3.958333391,0.326766477,23.0824572,1,0.170073688,9.161359342,2.963890046,0.271558052,14.62801761,6.762501157,0.444308162,23.93354777,13.77361227,0.69953536,37.68187124
2011,SEW11,89.613,NA,1.257324503,71.27276989,3.80972228,0.160916618,14.42022091,0.851389236,0.051209139,3.649817152,2.876389236,0.120787445,8.608855809,6.836805903,0.210316544,14.98984263,14.10694473,0.3027196,21.57566438
2011,SEW34,90.971,NA,1.244017474,73.1267863,3.833333391,0.11060987,10.06229052,0.805556019,0.030666231,2.242522941,2.940278241,0.077470223,5.665148424,6.786806019,0.153557401,11.22915926,14.12847274,0.247980389,18.13400891
2011,SEW43,89.997,NA,1.301216909,69.16371851,3.844444502,0.092711219,8.343731559,0.805556539,0.040650645,2.811549759,2.936112095,0.062421606,4.317310383,6.781945428,0.092446493,6.393943225,14.12500104,0.105669169,7.308472639
tme,HEW26,89.805,66.847,1.364016144,66.847,3.784027778,0.147788341,13.272132,1.204861111,0.074415138,4.974428754,2.961805556,0.162411012,10.85668895,7.00625,0.312695548,20.90275933,13.96944444,0.485877054,32.47942344
tme,HEW47,90.504,63.435,1.448701248,63.435,3.812500058,0.311218794,28.16654572,1.194446181,0.090316898,5.729252396,2.955556771,0.203443898,12.90546368,6.997223438,0.41258732,26.17247663,13.96180677,0.6042658,38.33160102
tme,HEG20,72.08,49.015,1.448990081,49.015,3.795833391,0.413955412,29.83790611,0.968055729,0.240091844,11.76810171,2.929861053,0.309931748,15.1913046,7.141666667,0.436325296,21.38648436,14.09444444,0.522001239,25.58589071
tme,HEG33,72.233,49.194,1.471748645,49.194,3.785416725,0.526396258,38.0231809,1.101388426,0.123873492,6.093832552,2.906943866,0.306660133,15.08583856,6.868055208,0.812662081,39.97809843,13.85138854,1.271060562,62.5285533
tme,HEG6,69.23,49.067,1.452393795,49.067,3.772916725,0.472089813,32.68277775,0.975,0.273849914,13.43699374,2.938888889,0.337502902,16.56025491,7.146527778,0.891262645,43.73158421,14.09444444,0.993698059,48.75778267
tme,HEW49,91.377,67.499,1.363818883,67.499,3.815277836,0.180746139,16.51603993,1.193751331,0.064948204,4.383938822,2.954167998,0.135415643,9.140420494,6.995834664,0.297098279,20.05383674,13.96041811,0.480672822,32.44493481
